comment_id,MK_ID,mk_name,post_status_id,post_content,post_link,comment_link,comment_content,comment_content_processed,comment_time_of_publication,COMMENT_PUBLICATION_DAYS_FROM_RESEARCH_START_DATE,post_like_count,post_comment_count,post_share_count,comment_like_count,comment_comment_count,comment_main_language,POST_LEN_MESSAGE,COMMENT_LEN_MESSAGE,COMMENTATOR_LIKED_POST,HAS_NAME_OF_POST_WRITER_MK_IN_COMMENT,IDS_OF_MKS_MENTIONED_IN_COMMENT,NUM_OF_COMMENTS_BY_COMMENTATOR_ON_POST,COMMENTATOR_ID,POLITICAL_WING_HATNUA_LEFT,POLITICAL_WING_HATNUA_CENTER,IS_COALITION,PARTY_NAME,IS_FEMALE,AGE,MK_POLITICAL_STATUS,MK_POLITICAL_SENIORITY_INDEX,IS_CURRENT_OR_PAST_PARTY_LEADER,IS_CURRENT_OR_PAST_PM_CANDIDATE,IS_PM,POST_PUBLICATION_TIMESTAMP,POST_PUBLICATION_DATE,POST_PUBLICATION_DAYS_FROM_RESEARCH_START_DATE,POST_WITH_PHOTO,POST_WITH_LINK,POST_WITH_VIDEO,POST_WITH_STATUS,POST_WITH_TEXT_ONLY,POST_IN_HEBREW,POST_IN_ENGLISH,POST_IN_ARABIC,POST_IN_OTHER,DAYS_FROM_ELECTION,DAYS_FROM_THREE_TEENAGER_KIDNAP,DAYS_FROM_PROTECTIVE_EDGE_OFFICIAL_START_DATE,DAYS_FROM_PROTECTIVE_EDGE_OFFICIAL_END_DATE,DAYS_FROM_DUMA_ARSON_ATTACK,DAYS_FROM_THIRD_INTIFADA_START_DATE,DAYS_FROM_MK_BIRTHDAY,POST_PUBLISHED_ON_SATURDAY,COMMENT_PUBLISHED_ON_SATURDAY,NUM_OF_COMMENTS_BY_COMMENTATOR_ID_ON_GIVEN_MK_POSTS,NUM_OF_LIKES_BY_COMMENTATOR_ID_ON_GIVEN_MK_POSTS,RATIO_OF_COMMENTS_BY_COMMENTATOR_ID_ON_GIVEN_MK_POSTS,RATIO_OF_LIKES_BY_COMMENTATOR_ID_ON_GIVEN_MK_POSTS,NUM_OF_COMMENTS_BY_COMMENTATOR_ID_ON_ALL_MK_POSTS,NUM_OF_LIKES_BY_COMMENTATOR_ID_ON_ALL_MK_POSTS,RATIO_OF_COMMENTS_BY_COMMENTATOR_ID_ON_ALL_MK_POSTS,RATIO_OF_LIKES_BY_COMMENTATOR_ID_ON_ALL_MK_POSTS,,,feed_id,helper_feed_popularity_index_field,fan_count_at_time_of_publication,fan_count_at_end_of_research,start_of_term,end_of_term,mk_seniority_by_end_of_research_in_days,post_published_after_start_of_term,post_published_before_end_of_term,post_in_range,commentmain_language_manual_qa,ATTITUDE,ATTITUDE_TOWARD_WRITER_OF_POST,ATTITUDE_TOWARD_RIVALS,ATTITUDE_TOWARD_ALLIES,ATTITUDE_TOWARD_OTHERS,ATTITUDE_TOWARD_CONTENT_OF_POST,OTHERS_NEGATIVE_LANGUAGE,OTHERS_GREETINGS,OTHERS_CALL_FOR_ACTION,comments
1001885693235119_1002066686550353,201,זהבה גלאון,115028251920872_1001885693235119,"""היטלר לא רצה להשמיד את היהודים בזמנו. הוא רצה לגרש אותם. וחאג' אמין אל חוסייני הלך אליו ואמר 'אם תגרש אותם כולם יבואו לכאן'. 'אז מה אעשה איתם?' שאל היטלר, וחוסייני ענה 'שרוף אותם'.""         זה לא נאום של יורג היידר. זה לא קטע מהדוקטורט של אבו-מאזן. זה ציטוט אמיתי לחלוטין של ראש ממשלת ישראל בנימין נתניהו אתמול מעל בימת הקונגרס הציוני. לראות ולא להאמין.        אולי כדאי להוציא מהקבר את 33,771 היהודים שנרצחו בבאבי יאר בספטמבר 1941, חודשיים לפני שהמופתי והיטלר בכלל נפגשו, ולעדכן אותם שהנאצים בכלל לא התכוונו להשמיד אותם.        אולי שנתניהו יספר את זה לקרובי משפחתי מליטא שנרצחו על ידי הנאצים יחד עם עוד כמעט מאתיים אלף בני הקהילה היהודית שם, גם כן לפני שהמופתי והיטלר נפגשו.         ""היטלר לא רצה להשמיד את היהודים.""        לאיזה תהומות של שפלות יורד האיש הזה. כמה הוא מבזה אותנו כעם ואיך הוא גורר בבוץ את זכר הזוועות שעשו הנאצים ועוזריהם לעם היהודי. אני מתביישת בשבילך אדוני ראש הממשלה.         את הניתוחים הפסיכולוגיים אשאיר לאחרים. דבר אחד אני כן יודעת: מי שלא מסוגל לפעול כדי לשנות את העתיד, כל מה שנשאר לו זה לשכתב את העבר.",https://www.facebook.com/115028251920872/posts/1001885693235119,www.facebook.com/1001885693235119_1002066686550353,הלוואי שיהיה לך רבע מהחוכמה של ביבי יעוכרת ישראל,הלוואי שיהיה לך רבע מהחוכמה של MK_NOT_WRITER_OF_POST יעוכרת ישראל,2015-10-21 12:31:24+00:00,658,10914,2035,2509,0,0,he,995,48,0,0,,1,1224441737582590,LEFT,LEFT,0,מרצ,1,60,1,,1,12/30/1899,12/30/1899,2015-10-21 04:05:00+00:00,10/21/2015,658,0,0,1,0,0,1,0,0,0,218,496,470,421,82,38,162,0,0,2,0,0.0021762786,0,1,1,1,1,,,22,22:2015-10-21,94193,100013,6/7/1999,12/30/1899,6052,1.00,1,1.00,he,2,2,1,4,4,4,1,2,2,0
1003005406456481_1003020453121643,201,זהבה גלאון,115028251920872_1003005406456481,"מחר אנחנו יוצאים שוב להפגין. בשעה 19:30 נצטרף לצעדה מכיכר רבין לרחוב קפלן בתל אביב.        זה השבוע השלישי של ה""גל"" הזה, והשבוע השלישי שאנחנו יוצאים לרחובות. הצטרפו אלינו – אל תשבו בבית בזמן שאיש שקרן ופחדן מחסל את העתיד של הילדים שלנו. אל תתנו לו להמשיך ל""נהל את הסכסוך"" ולהפוך אותנו למדינה עצובה, מדממת, מיואשת. יש דרך אחרת, של תקווה ושלום, אבל נתניהו לא רוצה ולא מסוגל ללכת בה. הצטרפו אלינו מחר, זאת מלחמה על הבית. עזרו לנו להעיף אותו הביתה!",https://www.facebook.com/115028251920872/posts/1003005406456481,www.facebook.com/1003005406456481_1003020453121643,"She yerbo anashem kmo zahava...em kolam hayo kmoh lo haya ve lo yehye melhama,en kmo lehyot be shalom ve nahat","She yerbo anashem kmo zahava...em kolam hayo kmoh lo haya ve lo yehye melhama,en kmo lehyot be shalom ve nahat",2015-10-23 12:28:33+00:00,660,552,197,110,0,0,so,438,110,1,0,,2,1.01536414502934E+016,LEFT,LEFT,0,מרצ,1,60,1,,1,12/30/1899,12/30/1899,2015-10-23 11:40:27+00:00,10/23/2015,660,1,0,0,0,0,1,0,0,0,220,498,472,423,84,40,160,0,0,6,12,0.0043525571,0.0130576714,1,1,1,1,,,22,22:2015-10-23,94707,100013,6/7/1999,12/30/1899,6052,1.00,1,1.00,he-english-letters,1,1,4,4,4,4,2,2,2,0
1003218439721120_1003244116385219,740,יצחק הרצוג,161648040544835_1003218439721120,"שמעתי אותך, אדוני ראש הממשלה, עונה לשאלה ""הלנצח נאכל חרב?"" את התשובה הבלתי נתפסת ""כן"".        אני עומד מולך, מביט לך בעיניים ואומר לך: בחרדה לא בונים מדינה. לא בונים ביטחון. לא בונים צבא. כך חינך אותנו יצחק רבין.        הוא ציווה לנו לעשות הכל כדי להוציא את השטחים מישראל.        לא ניתן לך להביא אותנו למצדה. לא נוכל להרשות את חורבן עצמאותנו השלישית.        ""בקש שלום ורדפהו...וגם אם יתמהמה, בוא יבוא""        בי נשבעתי – אני אעשה הכל כדי שישראל לא תהפוך לישראסטין.        צפו בנאומי במליאה לזכר המצביא, המנהיג, מורה הדרך, ראש הממשלה ושר הביטחון, גיבור ישראל, מר אחריות, שנרצח כי האמין ונלחם למען ישראל יהודית ודמוקרטית – יצחק רבין ז""ל.",https://www.facebook.com/161648040544835/posts/1003218439721120,www.facebook.com/1003218439721120_1003244116385219,בוז'י בושה וחרפה חצוף אני רואה ולא מאמינה גם ביום כזה  בכנסת לזכרו של רבין אתה מנצל במה זו אך ורק למען מטרותיך הפוליטיות כאילו אכפת לך מרבין..... אלוהים עד מתי תעשה צחוק מעצמך..  אין בחיים לא תגיע לרמתו של ביבי מכל הבחינות. אז כבר מאוחר לך לישון.,MK_WRITER_OF_POST בושה וחרפה חצוף אני רואה ולא מאמינה גם ביום כזה  בכנסת לזכרו של רבין אתה מנצל במה זו אך ורק למען מטרותיך הפוליטיות כאילו אכפת לך מרבין..... אלוהים עד מתי תעשה צחוק מעצמך..  אין בחיים לא תגיע לרמתו של MK_NOT_WRITER_OF_POST מכל הבחינות. אז כבר מאוחר לך לישון.,2015-10-26 18:49:16+00:00,663,1596,546,382,1,0,he,600,246,0,1,740,2,333731710141937,LEFT,LEFT,0,המחנה הציוני ,0,56,2,,1,12/31/1899,12/30/1899,2015-10-26 17:41:06+00:00,10/26/2015,663,0,0,1,0,0,1,0,0,0,223,501,475,426,87,43,34,0,0,29,2,0.0273396425,0.0021030494,1,1,1,1,,,12,12:2015-10-26,106495,109582,2/17/2003,12/30/1899,4701,1.00,1,1.00,he,2,1,1,4,4,2,1,2,2,0
1003660819724273_1003877069702648,201,זהבה גלאון,115028251920872_1003660819724273,"בהפגנה הערב עם אלפים שיצאו מהבית כדי לדרוש עתיד ותקווה, כדי להפוך את ישראל שוב למקום שאפשר לנשום בו.         אלפים, שמייצגים עוד מאות על מאות של אלפים, שרוצים לחיות בשקט ובביטחון.        אלפים שאמרו הערב: ביבי, נכשלת!!! נכשלת בלספק ביטחון אישי לאזרחי ישראל, נכשלת בלהציע חזון כלשהו לשינוי המציאות. לך הביתה!        אלפים שלא מוכנים להשלים עם מציאות של מערב פרוע, במסגרתה אנחנו פוחדים ללכת ברחוב, במסגרתה הרב אריק אשרמן הותקף על ידי מתנחל כי העז להגן על זכויות אדם ואזרחים ביצעו לינץ' באדם שצבע עורו מפחיד אותם.        יש דרך אחת  לסיים את מעגל האלימות, המלחמה והנקמה ולהציע תקווה לאזרחי ישראל:מכיוון שאין פתרון צבאי, צריך להציע תכנית אמיתית הכוללת צעדים קונקרטיים לקראת סיום הכיבוש והשליטה של ישראל על עם אחר.        אנחנו לא משלים את עצמנו,  זה לא יהיה קל, גם לסיום הכיבוש יהיה מחיר. זה ידרוש מאיתנו הישראלים והפלסטינים רצון, דמיון, אמון, יצירתיות וגם זהירות. והתמודדות עם גורמים בשני הצדדים שיהיו מוכנים לעשות את הגרוע מכל כדי למנוע את הפתרון. אבל זה לא אומר שאנחנו מרימים ידיים או אומרים שזה בלתי אפשרי.         עם אלפים נוספים אמרנו הערב כן לסיום הכיבוש, כן להסדר מדיני, כן לשיתוף פעולה יהודי-ערבי. דרשנו לחיות בביטחון, דרשנו תקווה, דרשנו עתיד טוב יותר בארץ הזו.",https://www.facebook.com/115028251920872/posts/1003660819724273,www.facebook.com/1003660819724273_1003877069702648,"אלפים? כמה מאות שלקחו פיטריות אוליי,דיי לסמים!","אלפים? כמה מאות שלקחו פיטריות אוליי,דיי לסמים!",2015-10-25 08:58:01+00:00,662,2655,580,169,0,0,he,1130,46,0,0,,1,979944078687581,LEFT,LEFT,0,מרצ,1,60,1,,1,12/30/1899,12/30/1899,2015-10-24 19:40:12+00:00,10/24/2015,661,1,0,0,0,0,1,0,0,0,221,499,473,424,85,41,159,0,0,16,0,0.0163220892,0,1,1,1,1,,,22,22:2015-10-24,94785,100013,6/7/1999,12/30/1899,6052,1.00,1,1.00,he,2,4,4,4,4,2,99,2,2,0
1003963526360669_1004289146328107,201,זהבה גלאון,115028251920872_1003963526360669,"ועדת השרים לחקיקה אישרה הרגע הצעת חוק שתעניק מחדש קצבת הבטחת הכנסה לאברכים - 2600 ש""ח בחודש לכל אברך. פעמיים בג""צ פסל את החוק הזה בטענה שלתת קצבה למי שלומד תורה ולא לתת קצבה למי שלומד פיזיקה או היסטוריה זאת אפליה. אבל מי זה בג""צ שיחליט בשביל ביבי שהוא לא יכול לשחד את שותפיו לקואליציה ולהיכנע לאיומים של ח""כ משה גפני מיהדות התורה, לפיהם ""אם לא יכבדו את קידום החוק, אני אשאיר את הממשלה הזאת לבנט ולאיילת שקד"".                 בשנת 2000 ארנן יקותיאלי ז""ל – חבר יקר ומגדולי הפעילים לחופש מדת ולהפרדת הדת מהמדינה - עתר לבג""צ לראשונה בנושא הזה. ההכרעה היתה ברורה: אם אברכים מקבלים הבטחת הכנסה, כל הסטודנטים צריכים לקבל. כדי לעקוף את ההחלטה הזאת, גפני וחבריו הכניסו להצעת החוק החדשה סעיף שקובע שגם סטודנטים חילוניים שיש להם ילדים יהיו זכאים לקצבה. ככה הם תופסים שתי ציפורים במכה – גם מצאו שיטה אפקטיבית להפריד בין אברכים לסטודנטים (שלמעט מאוד מתוכם יש ילדים), וגם עושים את זה בעילה של שוויון לכאורה.                 אתם אולי שואלים את עצמכם באילו קריטריונים נוספים צריך לעמוד אברך שרוצה לקבל מאיתנו כ-30 אלף ש""ח בשנה? האם הוא צריך לעבוד או לחפש עבודה? מה פתאום. האם מותר לו להחזיק בבעלותו דירה? בוודאי. שני הקריטריונים האלה היו אגב קיימים בגרסה הקודמת של החוק, אבל אם כבר סוחטים אז עד הסוף.                 אין שום הצדקה בעולם למתנה המטורפת הזאת, חוץ משוחד פוליטי בוטה. כל כך הרבה שימושים נכונים יכלו להיות לסכום העתק שהצעת החוק הזאת כרוכה בו – סכום שמתקרב לכרבע מיליארד ש""ח. אפשר היה, למשל, להגדיל את הבטחת ההכנסה העלובה שמקבלות אוכלוסיות שבאמת נזקקות לה. אוכלוסיות שנציגי המפלגות החרדיות נשבעו לעבוד למענן. אוכלוסיות שהן תמיד הראשונות לשלם את מחיר הרפיסות של ראש הממשלה ואת מחיר הזלזול העמוק והבלתי נסלח שלו ושל ממשלתו בכסף של אזרחי ישראל.        (בתמונה: הפגנת סטודנטים נגד האפליה; צילום: יוסי זמיר פלאש 90)",https://www.facebook.com/115028251920872/posts/1003963526360669,www.facebook.com/1003963526360669_1004289146328107,"איך נבחרת לכנסת אינני מבין.        איך בחרו בך מעט אנשים אינני מבין.        איזה תועלת יש לציבור ממך אינני מבין.        לא יודע כבר מה לחשוב על הדבר הזה שנקרא מר""צ.        כנראה שישנם כמה אנשים מבולבלים במדינה.","איך נבחרת לכנסת אינני מבין.        איך בחרו בך מעט אנשים אינני מבין.        איזה תועלת יש לציבור ממך אינני מבין.        לא יודע כבר מה לחשוב על הדבר הזה שנקרא מר""צ.        כנראה שישנם כמה אנשים מבולבלים במדינה.",2015-10-26 03:06:42+00:00,663,4445,518,963,0,0,he,1656,182,0,0,,1,795551953800101,LEFT,LEFT,0,מרצ,1,60,1,,1,12/30/1899,12/30/1899,2015-10-25 13:36:13+00:00,10/25/2015,662,1,0,0,0,0,1,0,0,0,222,500,474,425,86,42,158,0,0,24,1,0.0250272035,0.0010881393,1,1,1,1,,,22,22:2015-10-25,94865,100013,6/7/1999,12/30/1899,6052,1.00,1,1.00,he,2,2,4,4,2,4,2,2,2,0
1004009992954002_1004531269568541,864,נפתלי בנט,396697410351933_1004009992954002,"שתפו|share        בנט לערוץ הביביסי: ""כשטרוריסט רץ לדקור אותך, אתה יורה בו, לא מדבר איתו""        ""Bennett to BBC: ""when a terrorist tries to kill you, shoot him, don't talk        **        נלחמים על האמת.        https://www.youtube.com/watch?v=gPfsDZb226Y",https://www.facebook.com/396697410351933/posts/1004009992954002,www.facebook.com/1004009992954002_1004531269568541,ממתי זה? היא עוד קוראת לך שר הכלכלה.,ממתי זה? היא עוד קוראת לך MK_NOT_WRITER_OF_POST.,2015-10-17 20:23:43+00:00,654,7237,476,1733,0,0,he,222,36,0,0,,1,1.01522413367119E+016,RIGHT,RIGHT,1,הבית היהודי,0,44,1,,1,12/30/1899,12/30/1899,2015-10-16 13:07:40+00:00,10/16/2015,653,0,0,1,0,0,1,0,0,0,213,491,465,416,77,33,160,0,0,24,90,0.0149051491,0.0609756098,1,1,1,1,,,20,20:2015-10-16,407440,409482,2/5/2013,12/30/1899,1060,1.00,1,1.00,he,3,4,4,4,4,3,2,2,2,0
1004794146245603_1004848569573494,878,יאיר לפיד,107836625941364_1004794146245603,"הפרלמנט האירופי קרא היום לאשר החלטה לסימון מוצרים מישראל. מדובר באות קלון לפרלמנט האירופי.        הקריאה היא למעשה חרם על מדינת ישראל. הראיה הכי טובה לכך היא שרמת הגולן כלולה בקריאה המגוחכת הזאת לסימון מוצרים. למי הם מצפים שנחזיר את הגולן? לדעא""ש? לג'אבת אל נוסרה? לחיזבאללה? זאת החלטה חסרת אחריות ותלושה מהמציאות.        מי שקיבל את ההחלטה הזאת היום נגוע בצביעות מבישה. מתעלמים ממעשי הזוועה בסוריה, זוחלים למשטר האיראני כדי לפתח איתם קשרי מסחר אבל קוראים לחרם על מוצרים מרמת הגולן. אין איוולת גדולה מזאת. כדאי לאירופה להתעסק באיך הם מונעים מהכסף העצום שיזרום מהם עכשיו לאיראן, להגיע לחיזבאללה ולארגוני הטרור שנמצאים על גבולה של ישראל.",https://www.facebook.com/107836625941364/posts/1004794146245603,www.facebook.com/1004794146245603_1004848569573494,"שלא יקנו מוצרים או פיתוחים ישראליים, נראה אותם מסתדרים בלי..","שלא יקנו מוצרים או פיתוחים ישראליים, נראה אותם מסתדרים בלי..",2015-09-10 18:52:40+00:00,617,5249,534,347,0,0,he,623,60,0,0,,1,1.02042659335811E+016,CENTER,CENTER,0,יש עתיד,0,53,2,,1,12/31/1899,12/30/1899,2015-09-10 16:47:08+00:00,9/10/2015,617,0,0,0,0,1,1,0,0,0,177,455,429,380,41,-3,55,0,0,2,3,0.0032733224,0.0049099836,1,1,1,1,,,14,14:2015-09-10,385578,393951,2/5/2013,12/30/1899,1060,1.00,1,1.00,he,3,4,4,4,4,1,2,2,2,0
1006349516053383_1006505379371130,864,נפתלי בנט,396697410351933_1006349516053383,"הבוקר ציפי לבני תקפה את האזרחים נושאי הנשק ואותי שאנחנו עם יד קלה על ההדק.        באותו זמן, על פי העדויות, מחבלים ניסו לעלות על הסעת ילדים בבית שמש ונוטרלו.        **        כל פיגועי הדקירות נעצרו ע״י שוטרים או אזרחים ערניים ואמיצים שנשאו נשק.         **        זה ההבדל בין פצוע/הרוג אחד לבין טבח של ארבעים.         **        אני קורא לבעלי רשיון לשאת נשק ולפעול באחריות.        כך נציל חיים.        https://www.youtube.com/watch?v=fry7EvcjnOc",https://www.facebook.com/396697410351933/posts/1006349516053383,www.facebook.com/1006349516053383_1006505379371130,יבוא גם הזמן של ציפי כשמחבל עם סכין יתקיף אותה או מישהוא ממשפחתה ניראה את התגובה שלה. ציפי כניראה צריכה לעבור נתוח בראש כי הברגים החלידו והתרופפו.,יבוא גם הזמן של MK_NOT_WRITER_OF_POST כשמחבל עם סכין יתקיף אותה או מישהוא ממשפחתה ניראה את התגובה שלה. MK_NOT_WRITER_OF_POST כניראה צריכה לעבור נתוח בראש כי הברגים החלידו והתרופפו.,2015-10-22 15:25:33+00:00,659,7111,913,784,1,0,he,384,146,0,0,,1,960426863984756,RIGHT,RIGHT,1,הבית היהודי,0,44,1,,1,12/30/1899,12/30/1899,2015-10-22 06:32:10+00:00,10/22/2015,659,0,0,1,0,0,1,0,0,0,219,497,471,422,83,39,154,0,0,40,16,0.0237127371,0.0108401084,1,1,1,1,,,20,20:2015-10-22,407590,409482,2/5/2013,12/30/1899,1060,1.00,1,1.00,he,2,4,2,4,4,1,1,2,2,0
1006836636016181_1006915412674970,823,משה יעלון,173196886046831_1006836636016181,"שני דוחות חיצוניים של קצינים בכירים מצבאות שונים בעולם המערבי, בתוספת דוחות ותחקורים פנימיים שביצענו, מוכיחים באופן הברור ביותר כי במהלך מבצע 'צוק איתן' פעל צה""ל על פי החוק הישראלי ועל פי הדין הבינלאומי, ונקט באמצעי זהירות חריגים כדי להימנע מפגיעה באזרחים.                 אני יכול לומר זאת בצורה חד משמעית: אנו מקפידים קלה כחמורה ולא מתפשרים בכל מה שקשור לשמירה על עקרונות מוסר וחוק. בימי הלחימה, ועוד לפניהם, עסקנו בכך לא מעט, וזאת למרות שנאלצנו להתמודד עם אויב שירה אל עבר אזרחינו מתוך ריכוזי אוכלוסייה, בתי חולים, מסגדים ומוסדות חינוך. אנו מתמודדים מול מדינות וארגונים אשר מבצעים פשעי מלחמה ופוגעים בזכויות האנושיות הבסיסיות של אזרחים באופן יומיומי.                 הצבנו רף מוסרי וערכי גבוה מאוד, גם עבור צבאות מערביים, ובמקומות בהם סברנו כי יש מקום לתחקיר מקצועי או חקירה פלילית, לא היססנו לעשות זאת, ובמידת הצורך להעניש, ללא פשרות, את מי שעברו על החוק. כך עשינו וכך נעשה.                 עלינו להיאבק על האמת הזו בכל מקום. לא להסס להשמיע את קולנו. להגן על חיילי צה""ל, אשר יוצאים להגן על אזרחי ישראל ופועלים על פי הדין ועל פי ערכים וחוקים. לא להתפשר אל מול מי שנוהגים בצביעות ומעוותים את המציאות, ובעידן בו סביבנו אזרחים נטבחים ומדינות וארגונים מפעילים טרור חסר מעצורים, מתעקשים להפיץ דברי שקר נגד מדינת ישראל ונגד צה""ל.        אנו ניאבק בכך בכל כוחנו.",https://www.facebook.com/173196886046831/posts/1006836636016181,www.facebook.com/1006836636016181_1006915412674970,מה אתה מתנצל תן לצהל לנצח במלחמה הבאה תחפש מי שילחם הרגתם את רוח הלחימה,מה אתה מתנצל תן לצהל לנצח במלחמה הבאה תחפש מי שילחם הרגתם את רוח הלחימה,2015-06-14 19:33:52+00:00,529,342,59,18,5,2,he,1210,71,0,0,,1,1.02037147325025E+016,RIGHT,RIGHT,1,הליכוד,0,66,0,,0,12/30/1899,12/30/1899,2015-06-14 16:09:16+00:00,6/14/2015,529,0,0,0,0,1,1,0,0,0,89,367,341,292,-47,-91,9,0,0,8,24,0.0097442144,0.0292326431,1,1,1,1,,,67,67:2015-06-14,58212,59352,2/24/2009,5/23/2016,2502,1.00,1,1.00,he,2,4,4,4,4,2,2,2,2,0
1007583055998716_1007649752658713,201,זהבה גלאון,115028251920872_1007583055998716,"אני לא יודעת אם יש פסק הלכה בנושא, אבל כשהשר שאחראי על זכויות בעלי חיים מעלה הצעה שנוגדת כל מוסר בסיסי, זה הזמן לחפש מדינה זרה שתסכים לקלוט אותו",https://www.facebook.com/115028251920872/posts/1007583055998716,www.facebook.com/1007583055998716_1007649752658713,תגידו לי זה מדינת ישראל אין לא במה להתעסק רק עם החתולים למה לא עם העכברים ...,תגידו לי זה מדינת ישראל אין לא במה להתעסק רק עם החתולים למה לא עם העכברים ...,2015-11-02 11:00:43+00:00,670,7990,1055,2672,0,0,he,144,77,1,0,,1,863331037010635,LEFT,LEFT,0,מרצ,1,60,1,,1,12/30/1899,12/30/1899,2015-11-02 07:07:25+00:00,11/2/2015,670,1,0,0,0,0,1,0,0,0,230,508,482,433,94,50,150,0,0,5,18,0.0054406964,0.0195865071,1,1,1,1,,,22,22:2015-11-02,95554,100013,6/7/1999,12/30/1899,6052,1.00,1,1.00,he,2,4,4,4,4,2,2,2,2,0
